epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.674,1.41783,0.98411,1.13831,0.79733,0.56688,0.63949,0.383,1.39741,1.04445,1.14766,0.000666268,0.000666268,0.000666268
2,229.924,1.36782,0.90757,1.12451,0.87302,0.65735,0.73059,0.44888,1.28346,0.76887,1.09326,0.00124496,0.00124496,0.00124496
3,338.062,1.32192,0.85209,1.1002,0.8869,0.67094,0.75192,0.46663,1.2681,0.71374,1.07541,0.00173565,0.00173565,0.00173565
4,449.1,1.27704,0.80006,1.08223,0.88171,0.68997,0.77014,0.48277,1.21735,0.67802,1.05997,0.001604,0.001604,0.001604
5,559.968,1.24159,0.75621,1.06963,0.88713,0.70628,0.78923,0.49935,1.18141,0.62381,1.0435,0.001472,0.001472,0.001472
6,671.844,1.2177,0.71014,1.06645,0.88647,0.69521,0.78045,0.49801,1.188,0.65402,1.04439,0.00134,0.00134,0.00134
7,781.656,1.19346,0.68684,1.05124,0.8845,0.70754,0.78377,0.50087,1.1877,0.63527,1.0366,0.001208,0.001208,0.001208
8,891.083,1.18113,0.65936,1.04686,0.88149,0.72869,0.80152,0.51936,1.15229,0.59774,1.0248,0.001076,0.001076,0.001076
9,1001.43,1.16224,0.63861,1.03573,0.88528,0.7258,0.80303,0.51782,1.14919,0.59804,1.01922,0.000944,0.000944,0.000944
10,1112.04,1.14284,0.61683,1.02875,0.88857,0.73891,0.81331,0.5287,1.12695,0.56781,1.01152,0.000812,0.000812,0.000812
11,1222.46,1.12963,0.60069,1.02265,0.89271,0.74247,0.81711,0.53407,1.11551,0.55292,1.01164,0.00068,0.00068,0.00068
12,1332.9,1.10717,0.57979,1.01003,0.88907,0.75093,0.82589,0.54042,1.11025,0.54462,1.00394,0.000548,0.000548,0.000548
13,1443.9,1.0924,0.56298,1.00571,0.88914,0.75852,0.83003,0.54801,1.09041,0.52186,0.9991,0.000416,0.000416,0.000416
14,1554.28,1.07751,0.54503,0.99915,0.89623,0.76027,0.83206,0.5505,1.08573,0.51423,0.99516,0.000284,0.000284,0.000284
15,1665,1.05919,0.52444,0.99028,0.89318,0.76639,0.83833,0.55224,1.08298,0.50072,0.99444,0.000152,0.000152,0.000152
