epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1593,2.0214,2.02247,1.6829,0.15286,0.20242,0.09188,0.03305,2.56468,4.22484,1.89257,0.000666117,0.000666117,0.000666117
2,170.108,1.99875,1.94317,1.68364,0.05354,0.21882,0.03143,0.01317,2.64812,8.47727,1.93113,0.0012888,0.0012888,0.0012888
3,249.482,1.89089,1.82057,1.60046,0.37494,0.24839,0.23104,0.1068,2.37235,2.06119,1.51293,0.00186749,0.00186749,0.00186749
4,328.711,1.81354,1.70885,1.53611,0.32264,0.30296,0.2219,0.1046,2.24606,2.18006,1.58691,0.001802,0.001802,0.001802
5,407.167,1.77008,1.62397,1.50613,0.39619,0.31909,0.27845,0.13325,2.19307,1.98062,1.4962,0.001736,0.001736,0.001736
6,485.063,1.72542,1.55415,1.48444,0.44539,0.30158,0.30435,0.15354,2.11436,1.93741,1.39979,0.00167,0.00167,0.00167
7,563.497,1.65721,1.45536,1.43464,0.46513,0.3455,0.33871,0.16955,2.0628,1.74409,1.40788,0.001604,0.001604,0.001604
8,643.041,1.62394,1.41639,1.41093,0.50267,0.35672,0.3449,0.17436,2.05166,1.60946,1.38827,0.001538,0.001538,0.001538
9,723.989,1.60836,1.37868,1.40803,0.46973,0.35645,0.33939,0.17072,2.0609,1.63823,1.42528,0.001472,0.001472,0.001472
10,805.375,1.5942,1.33737,1.38856,0.48221,0.3672,0.35931,0.18375,2.02783,1.57479,1.37493,0.001406,0.001406,0.001406
11,887.078,1.56969,1.30381,1.37574,0.47927,0.37527,0.35824,0.17989,2.0064,1.6222,1.35314,0.00134,0.00134,0.00134
12,968.002,1.54167,1.26764,1.36215,0.49876,0.36183,0.3684,0.19629,1.98849,1.54708,1.33984,0.001274,0.001274,0.001274
13,1048.25,1.53041,1.27882,1.3561,0.4951,0.37097,0.3702,0.20298,1.9352,1.54573,1.33876,0.001208,0.001208,0.001208
14,1130.76,1.4996,1.21916,1.33546,0.50706,0.3922,0.38059,0.20704,1.91261,1.48408,1.30877,0.001142,0.001142,0.001142
15,1212.37,1.47586,1.20517,1.32334,0.54892,0.36075,0.37882,0.20352,1.96508,1.48366,1.32093,0.001076,0.001076,0.001076
16,1293.23,1.46523,1.18137,1.31409,0.52155,0.36774,0.38331,0.20767,1.93297,1.47023,1.30094,0.00101,0.00101,0.00101
17,1374.48,1.44745,1.15341,1.31275,0.50551,0.40995,0.39238,0.21795,1.90559,1.40347,1.31521,0.000944,0.000944,0.000944
18,1455.36,1.43971,1.13668,1.29602,0.48263,0.3897,0.38835,0.21543,1.91166,1.45137,1.30864,0.000878,0.000878,0.000878
19,1535.94,1.42153,1.12036,1.29218,0.5121,0.40054,0.40181,0.22545,1.87427,1.39106,1.28444,0.000812,0.000812,0.000812
20,1617.28,1.40128,1.09474,1.27521,0.51269,0.41478,0.40925,0.23063,1.8573,1.34955,1.27522,0.000746,0.000746,0.000746
21,1699.79,1.36316,1.00196,1.23088,0.48715,0.40108,0.39683,0.21943,1.89475,1.38876,1.3247,0.00068,0.00068,0.00068
22,1780.89,1.32102,0.95183,1.21158,0.50997,0.39301,0.40466,0.23454,1.86322,1.37634,1.29648,0.000614,0.000614,0.000614
23,1863.99,1.31073,0.93799,1.2038,0.5097,0.40376,0.40835,0.23387,1.85488,1.34069,1.2978,0.000548,0.000548,0.000548
24,1942.99,1.29354,0.92575,1.19519,0.48261,0.4235,0.41261,0.23713,1.82463,1.3336,1.27308,0.000482,0.000482,0.000482
25,2021.82,1.27393,0.8955,1.183,0.47705,0.42498,0.4099,0.2354,1.81649,1.35288,1.27443,0.000416,0.000416,0.000416
26,2101.67,1.25187,0.87542,1.17066,0.4919,0.4293,0.41899,0.24253,1.79279,1.31981,1.26758,0.00035,0.00035,0.00035
27,2180.44,1.24014,0.85924,1.16115,0.50106,0.42285,0.42498,0.2448,1.80079,1.33619,1.25066,0.000284,0.000284,0.000284
28,2259.49,1.23055,0.84601,1.16134,0.50902,0.41882,0.42625,0.24675,1.80488,1.29932,1.26673,0.000218,0.000218,0.000218
29,2342.24,1.21375,0.83318,1.15201,0.49678,0.42796,0.42484,0.2475,1.7987,1.28412,1.26526,0.000152,0.000152,0.000152
30,2427.71,1.19086,0.81604,1.14229,0.50133,0.43495,0.42933,0.24972,1.79193,1.27792,1.26585,8.6e-05,8.6e-05,8.6e-05
